Accessed: Zugegriffen
Active: Aktiv
Admin: Administrator
All: Alle
Anonymous: Anonym
Answering: Antwortet
Approved: Genehmigt
Author: Autor
Backup: Sicherung
Backups: Sicherungen
Basic: Grundlegend
Blocked: Blockiert
Blog: Blog
Blogs: Blogs
Browsers: Browser
Cancel: Abbrechen
Categories: Kategorien
Category: Kategorie
Clear: Leeren
Close: Schließen
Comment: Kommentar
Comments: Kommentare
Congratulations: Glückwunsch
Content: Inhalt
count: Anzahl
Created: Erstellt
Custom: Benutzerdefiniert
Danger: Gefahr
Dashboard: Dashboard
Date: Datum
Deleted: Gelöscht
Deleted?: Gelöscht?
Description: Beschreibung
Done: Fertig
Download: Herunterladen
Draft: Entwurf
Drafts: Entwürfe
Enter: Eingeben
Error: Fehler
Everything: Alles
Extension: Erweiterung
Feeds: Feeds
field: Feld
Filler: Platzhalter
Filter: Filter
General: Allgemein
Header: Kopfzeile
History: Verlauf
Id: ID
Info: Info
Ip: IP
Key: Schlüssel
Keywords: Schlüsselwörter
Language: Sprache
Large: Groß
Leave: Verlassen
link: Link
Login: Anmelden
Logo: Logo
Logout: Abmelden
Maintenance: Wartung
Medium: Mittel
Misc: Sonstiges
Moderator: Moderator
Modified: Geändert
Name: Name
New: Neu
No: Nein
None: Keine
Note: Notiz
Oops: Ups
Original: Original
Page: Seite
Pages: Seiten
Parent: Übergeordnet
Password: Passwort
Path: Pfad
Pinned: Angeheftet
Platforms: Plattformen
Post: Veröffentlichung
Posts: Veröffentlichungen
Primary: Primär
Profile: Profil
Progress: Fortschritt
Published: Veröffentlicht
Rating: Bewertung
Ratings: Bewertungen
Reactions: Reaktionen
Reload: Neu laden
Reply: Antworten
Reset: Zurücksetzen
Restore: Wiederherstellen
Role: Rolle
Roles: Rollen
Save: Speichern
Search: Suchen
Settings: Einstellungen
Size: Größe
Slow: Langsam
Slug: Slug
Small: Klein
Spam: Spam
Stats: Statistiken
Status: Status
Stop: Stoppen
Subscribe: Abonnieren
Subscriber: Abonnent
Success: Erfolg
Tag: Tag
Tags: Tags
Thumbnail: Miniaturansicht
Timezone: Zeitzone
Title: Titel
Trash: Papierkorb
Type: Typ
Undo: Rückgängig
Upload: Hochladen
User: Benutzer
Username: Benutzername
Users: Benutzer
Value: Wert
Version: Version
Video: Video
Videos: Videos
Warning: Warnung
Website: Website
Yes: Ja
