Accessed: Accedido
Active: Activo
Admin: Administrador
All: Todos
Anonymous: Anónimo
Answering: Respondiendo
Approved: Aprobado
Author: Autor
Backup: Copia de seguridad
Backups: Copias de seguridad
Basic: Básico
Blocked: Bloqueado
Blog: Blog
Blogs: Blogs
Browsers: Navegadores
Cancel: Cancelar
Categories: Categorías
Category: Categoría
Clear: Limpiar
Close: Cerrar
Comment: Comentario
Comments: Comentarios
Congratulations: Enhorabuena
Content: Contenido
count: Cantidad
Created: Creado
Custom: Personalizado
Danger: Peligro
Dashboard: Panel
Date: Fecha
Deleted: Eliminado
Deleted?: ¿Eliminado?
Description: Descripción
Done: Hecho
Download: Descargar
Draft: Borrador
Drafts: Borradores
Enter: Introducir
Error: Error
Everything: Todo
Extension: Extensión
Feeds: Feeds
field: Campo
Filler: Relleno
Filter: Filtro
General: General
Header: Encabezado
History: Historial
Id: ID
Info: Información
Ip: IP
Key: Clave
Keywords: Palabras clave
Language: Idioma
Large: Grande
Leave: Salir
link: Enlace
Login: Iniciar sesión
Logo: Logo
Logout: Cerrar sesión
Maintenance: Mantenimiento
Medium: Medio
Misc: Varios
Moderator: Moderador
Modified: Modificado
Name: Nombre
New: Nuevo
No: No
None: Ninguno
Note: Nota
Oops: Vaya
Original: Original
Page: Página
Pages: Páginas
Parent: Padre
Password: Contraseña
Path: Ruta
Pinned: Fijado
Platforms: Plataformas
Publication: Publicación
Publications: Publicaciones
Primary: Primario
Profile: Perfil
Progress: Progreso
Published: Publicado
Rating: Valoración
Ratings: Valoraciones
Reactions: Reacciones
Reload: Recargar
Reply: Responder
Reset: Restablecer
Restore: Restaurar
Role: Rol
Roles: Roles
Save: Guardar
Search: Buscar
Settings: Configuración
Size: Tamaño
Slow: Lento
Slug: Slug
Small: Pequeño
Spam: Spam
Stats: Estadísticas
Status: Estado
Stop: Detener
Subscribe: Suscribirse
Subscriber: Suscriptor
Success: Éxito
Tag: Etiqueta
Tags: Etiquetas
Thumbnail: Miniatura
Timezone: Zona horaria
Title: Título
Trash: Papelera
Type: Tipo
Undo: Deshacer
Upload: Subir
User: Usuario
Username: Nombre de usuario
Users: Usuarios
Value: Valor
Version: Versión
Video: Vídeo
Videos: Vídeos
Warning: Advertencia
Website: Sitio web
Yes: Sí
