Accessed: Accesso effettuato
Active: Attivo
Admin: Amministratore
All: Tutti
Anonymous: Anonimo
Answering: Rispondendo
Approved: Approvato
Author: Autore
Backup: Backup
Backups: Backup
Basic: Base
Blocked: Bloccato
Blog: Blog
Blogs: Blog
Browsers: Browser
Cancel: Annulla
Categories: Categorie
Category: Categoria
Clear: Cancella
Close: Chiudi
Comment: Commento
Comments: Commenti
Congratulations: Congratulazioni
Content: Contenuto
count: Conteggio
Created: Creato
Custom: Personalizzato
Danger: Pericolo
Dashboard: Dashboard
Date: Data
Deleted: Eliminato
Deleted?: Eliminato?
Description: Descrizione
Done: Fatto
Download: Scarica
Draft: Bozza
Drafts: Bozze
Enter: Inserisci
Error: Errore
Everything: Tutto
Extension: Estensione
Feeds: Feed
field: Campo
Filler: Riempimento
Filter: Filtro
General: Generale
Header: Intestazione
History: Cronologia
Id: ID
Info: Info
Ip: IP
Key: Chiave
Keywords: Parole chiave
Language: Lingua
Large: Grande
Leave: Esci
link: Link
Login: Accedi
Logo: Logo
Logout: Disconnetti
Maintenance: Manutenzione
Medium: Medio
Misc: Varie
Moderator: Moderatore
Modified: Modificato
Name: Nome
New: Nuovo
No: No
None: Nessuno
Note: Nota
Oops: Ops
Original: Originale
Page: Pagina
Pages: Pagine
Parent: Padre
Password: Password
Path: Percorso
Pinned: Fissato
Platforms: Piattaforme
Post: Pubblicazione
Posts: Pubblicazioni
Primary: Primario
Profile: Profilo
Progress: Avanzamento
Published: Pubblicato
Rating: Valutazione
Ratings: Valutazioni
Reactions: Reazioni
Reload: Ricarica
Reply: Rispondi
Reset: Reimposta
Restore: Ripristina
Role: Ruolo
Roles: Ruoli
Save: Salva
Search: Cerca
Settings: Impostazioni
Size: Dimensione
Slow: Lento
Slug: Slug
Small: Piccolo
Spam: Spam
Stats: Statistiche
Status: Stato
Stop: Ferma
Subscribe: Iscriviti
Subscriber: Iscritto
Success: Successo
Tag: Tag
Tags: Tag
Thumbnail: Miniatura
Timezone: Fuso orario
Title: Titolo
Trash: Cestino
Type: Tipo
Undo: Annulla
Upload: Carica
User: Utente
Username: Nome utente
Users: Utenti
Value: Valore
Version: Versione
Video: Video
Videos: Video
Warning: Avviso
Website: Sito web
Yes: Sì
