Accessed: アクセス済み
Active: アクティブ
Admin: 管理者
All: すべて
Anonymous: 匿名
Answering: 応答中
Approved: 承認済み
Author: 作成者
Backup: バックアップ
Backups: バックアップ
Basic: 基本
Blocked: ブロック済み
Blog: ブログ
Blogs: ブログ
Browsers: ブラウザ
Cancel: キャンセル
Categories: カテゴリ
Category: カテゴリ
Clear: クリア
Close: 閉じる
Comment: コメント
Comments: コメント
Congratulations: おめでとうございます
Content: コンテンツ
count: 数
Created: 作成済み
Custom: カスタム
Danger: 危険
Dashboard: ダッシュボード
Date: 日付
Deleted: 削除済み
Deleted?: 削除しますか？
Description: 説明
Done: 完了
Download: ダウンロード
Draft: 下書き
Drafts: 下書き
Enter: 入力
Error: エラー
Everything: すべて
Extension: 拡張機能
Feeds: フィード
field: フィールド
Filler: フィラー
Filter: フィルター
General: 一般
Header: ヘッダー
History: 履歴
Id: ID
Info: 情報
Ip: IP
Key: キー
Keywords: キーワード
Language: 言語
Large: 大
Leave: 離れる
link: リンク
Login: ログイン
Logo: ロゴ
Logout: ログアウト
Maintenance: メンテナンス
Medium: 中
Misc: その他
Moderator: モデレーター
Modified: 更新済み
Name: 名前
New: 新規
No: いいえ
None: なし
Note: メモ
Oops: おっと
Original: 元
Page: ページ
Pages: ページ
Parent: 親
Password: パスワード
Path: パス
Pinned: 固定
Platforms: プラットフォーム
Publication: 公開
Publications: 公開
Primary: メイン
Profile: プロフィール
Progress: 進行状況
Published: 公開済み
Rating: 評価
Ratings: 評価
Reactions: リアクション
Reload: 再読み込み
Reply: 返信
Reset: リセット
Restore: 復元
Role: ロール
Roles: ロール
Save: 保存
Search: 検索
Settings: 設定
Size: サイズ
Slow: 低速
Slug: スラッグ
Small: 小
Spam: スパム
Stats: 統計
Status: 状態
Stop: 停止
Subscribe: 登録
Subscriber: 登録者
Success: 成功
Tag: タグ
Tags: タグ
Thumbnail: サムネイル
Timezone: タイムゾーン
Title: タイトル
Trash: ゴミ箱
Type: タイプ
Undo: 元に戻す
Upload: アップロード
User: ユーザー
Username: ユーザー名
Users: ユーザー
Value: 値
Version: バージョン
Video: 動画
Videos: 動画
Warning: 警告
Website: ウェブサイト
Yes: はい
