Accessed: Acedido
Active: Ativo
Admin: Administrador
All: Todos
Anonymous: Anónimo
Answering: A responder
Approved: Aprovado
Author: Autor
Backup: Cópia de segurança
Backups: Cópias de segurança
Basic: Básico
Blocked: Bloqueado
Blog: Blogue
Blogs: Blogues
Browsers: Navegadores
Cancel: Cancelar
Categories: Categorias
Category: Categoria
Clear: Limpar
Close: Fechar
Comment: Comentário
Comments: Comentários
Congratulations: Parabéns
Content: Conteúdo
count: Contagem
Created: Criado
Custom: Personalizado
Danger: Perigo
Dashboard: Painel
Date: Data
Deleted: Eliminado
Deleted?: Eliminado?
Description: Descrição
Done: Concluído
Download: Transferir
Draft: Rascunho
Drafts: Rascunhos
Enter: Introduzir
Error: Erro
Everything: Tudo
Extension: Extensão
Feeds: Feeds
field: Campo
Filler: Preenchimento
Filter: Filtro
General: Geral
Header: Cabeçalho
History: Histórico
Id: ID
Info: Informação
Ip: IP
Key: Chave
Keywords: Palavras-chave
Language: Idioma
Large: Grande
Leave: Sair
link: Ligação
Login: Iniciar sessão
Logo: Logótipo
Logout: Terminar sessão
Maintenance: Manutenção
Medium: Médio
Misc: Diversos
Moderator: Moderador
Modified: Modificado
Name: Nome
New: Novo
No: Não
None: Nenhum
Note: Nota
Oops: Ups
Original: Original
Page: Página
Pages: Páginas
Parent: Pai
Password: Palavra-passe
Path: Caminho
Pinned: Afixado
Platforms: Plataformas
Publication: Publicação
Publications: Publicações
Primary: Primário
Profile: Perfil
Progress: Progresso
Published: Publicado
Rating: Avaliação
Ratings: Avaliações
Reactions: Reações
Reload: Recarregar
Reply: Responder
Reset: Repor
Restore: Restaurar
Role: Função
Roles: Funções
Save: Guardar
Search: Pesquisar
Settings: Definições
Size: Tamanho
Slow: Lento
Slug: Slug
Small: Pequeno
Spam: Spam
Stats: Estatísticas
Status: Estado
Stop: Parar
Subscribe: Subscrever
Subscriber: Subscritor
Success: Sucesso
Tag: Etiqueta
Tags: Etiquetas
Thumbnail: Miniatura
Timezone: Fuso horário
Title: Título
Trash: Lixo
Type: Tipo
Undo: Anular
Upload: Carregar
User: Utilizador
Username: Nome de utilizador
Users: Utilizadores
Value: Valor
Version: Versão
Video: Vídeo
Videos: Vídeos
Warning: Aviso
Website: Sítio web
Yes: Sim
