Accessed: 已访问
Active: 活跃
Admin: 管理员
All: 全部
Anonymous: 匿名
Answering: 回复中
Approved: 已批准
Author: 作者
Backup: 备份
Backups: 备份
Basic: 基本
Blocked: 已封锁
Blog: 博客
Blogs: 博客
Browsers: 浏览器
Cancel: 取消
Categories: 分类
Category: 分类
Clear: 清除
Close: 关闭
Comment: 评论
Comments: 评论
Congratulations: 恭喜
Content: 内容
count: 数量
Created: 已创建
Custom: 自定义
Danger: 危险
Dashboard: 仪表板
Date: 日期
Deleted: 已删除
Deleted?: 确认删除？
Description: 描述
Done: 完成
Download: 下载
Draft: 草稿
Drafts: 草稿
Enter: 输入
Error: 错误
Everything: 全部
Extension: 扩展
Feeds: 订阅
field: 字段
Filler: 填充
Filter: 筛选
General: 常规
Header: 头部
History: 历史
Id: ID
Info: 信息
Ip: IP
Key: 键
Keywords: 关键词
Language: 语言
Large: 大
Leave: 离开
link: 链接
Login: 登录
Logo: 标志
Logout: 登出
Maintenance: 维护
Medium: 中
Misc: 其他
Moderator: 版主
Modified: 已修改
Name: 名称
New: 新建
No: 否
None: 无
Note: 备注
Oops: 哎呀
Original: 原始
Page: 页面
Pages: 页面
Parent: 父级
Password: 密码
Path: 路径
Pinned: 置顶
Platforms: 平台
Publication: 发布
Publications: 发布
Primary: 主要
Profile: 个人资料
Progress: 进度
Published: 已发布
Rating: 评分
Ratings: 评分
Reactions: 反应
Reload: 重新加载
Reply: 回复
Reset: 重置
Restore: 恢复
Role: 角色
Roles: 角色
Save: 保存
Search: 搜索
Settings: 设置
Size: 大小
Slow: 慢
Slug: Slug
Small: 小
Spam: 垃圾信息
Stats: 统计
Status: 状态
Stop: 停止
Subscribe: 订阅
Subscriber: 订阅者
Success: 成功
Tag: 标签
Tags: 标签
Thumbnail: 缩略图
Timezone: 时区
Title: 标题
Trash: 垃圾桶
Type: 类型
Undo: 撤销
Upload: 上传
User: 用户
Username: 用户名
Users: 用户
Value: 值
Version: 版本
Video: 视频
Videos: 视频
Warning: 警告
Website: 网站
Yes: 是
